period_init,v_kick,bound?,tighten?,circularize?
1.0,1.0,1.0,694971982444.0741,0.7150530834713472
1.0,6.040404040404041,1.0,695149328733.9,0.7148402305642394
1.0,11.080808080808081,1.0,695375081743.9993,0.714846828218877
1.0,16.12121212121212,1.0,694903705951.8185,0.7168505411940285
1.0,21.161616161616163,1.0,697052189385.8658,0.7127580064417012
1.0,26.202020202020204,1.0,698031240709.1952,0.7120412419205587
1.0,31.242424242424242,1.0,699246645586.1162,0.7106974395994656
1.0,36.282828282828284,1.0,700669749366.6028,0.7094705275393876
1.0,41.323232323232325,1.0,704414611435.2917,0.702874274579459
1.0,46.36363636363637,1.0,707217594110.394,0.699330589855652
1.0,51.40404040404041,1.0,709229309645.5128,0.6978315143055598
1.0,56.44444444444445,1.0,714979453186.5974,0.6878170473850059
1.0,61.484848484848484,1.0,713925561540.609,0.6938296311343047
1.0,66.52525252525253,1.0,719014042097.977,0.6867739803293695
1.0,71.56565656565657,1.0,722306563853.6847,0.684071281173892
1.0,76.60606060606061,1.0,727652137898.3641,0.677378652361041
1.0,81.64646464646465,1.0,732136578517.364,0.6731937861954391
1.0,86.68686868686869,1.0,736248830403.8014,0.6685001821031729
1.0,91.72727272727273,1.0,741683253413.0511,0.6631927631214388
1.0,96.76767676767678,1.0,742969108098.781,0.6686984685979667
1.0,101.80808080808082,1.0,753824597376.5295,0.6510253104801991
1.0,106.84848484848486,1.0,757192373527.924,0.65368326543103
1.0,111.8888888888889,1.0,762380471784.5607,0.6499345090568329
1.0,116.92929292929294,1.0,774223024940.5327,0.6399672778284419
1.0,121.96969696969697,1.0,780373244345.3873,0.6331360300292188
1.0,127.01010101010101,1.0,788093907144.9645,0.6294956189751455
1.0,132.05050505050505,1.0,803788718927.641,0.6095428961072631
1.0,137.0909090909091,1.0,810702622457.1927,0.6089452148515626
1.0,142.13131313131314,1.0,825141920923.9828,0.6005182244956582
1.0,147.17171717171718,1.0,824841265529.2603,0.6141726796860247
1.0,152.21212121212122,1.0,833990542648.2722,0.6088238614344094
1.0,157.25252525252526,1.0,862976792532.471,0.5879381259152507
1.0,162.2929292929293,1.0,868992705899.3418,0.5933325566789245
1.0,167.33333333333334,1.0,890444829581.7756,0.583503797325268
1.0,172.37373737373738,1.0,900452226252.6448,0.5944766507612135
1.0,177.41414141414143,1.0,910517780009.5754,0.6007639282489039
1.0,182.45454545454547,1.0,948280205130.298,0.5799786171310053
1.0,187.4949494949495,1.0,960212703276.8488,0.5882181336895255
1.0,192.53535353535355,1.0,969368868173.7554,0.5916471589509099
1.0,197.5757575757576,1.0,1010640426044.7915,0.5984242105816374
1.0,202.61616161616163,1.0,1014678147421.6505,0.6120174511056828
1.0,207.65656565656568,1.0,1051293258967.0663,0.6085459439623908
1.0,212.69696969696972,1.0,1091858205500.5682,0.6064616284277231
1.0,217.73737373737376,1.0,1109693465697.9983,0.6153926366542457
1.0,222.7777777777778,1.0,1169819247485.3164,0.6179836827816501
1.0,227.81818181818184,1.0,1203264338702.2988,0.6280134900667051
1.0,232.85858585858588,1.0,1241716464379.7195,0.6295996835407934
1.0,237.89898989898992,1.0,1324075170316.466,0.6356236370244653
1.0,242.93939393939394,1.0,1354968958814.28,0.648659828842207
1.0,247.97979797979798,1.0,1479072811943.125,0.6580282749602189
1.0,253.02020202020202,1.0,1588452047595.9653,0.6680358428187824
1.0,258.06060606060606,1.0,1710187808370.866,0.6744098844627516
1.0,263.1010101010101,1.0,1963901981245.75,0.6882319070276026
1.0,268.14141414141415,1.0,2151123179536.5403,0.6895645334648552
1.0,273.1818181818182,1.0,2986229637539.054,0.6969908101889157
1.0,278.22222222222223,0.986,5444111002951.217,0.6975843193923364
1.0,283.26262626262627,0.968,3871997052616.6196,0.715475860363766
1.0,288.3030303030303,0.951,3470161875591.2104,0.7107794935357825
1.0,293.34343434343435,0.907,7457425184218.828,0.7253791210247389
1.0,298.3838383838384,0.884,17362952526043.13,0.7121850476070637
1.0,303.42424242424244,0.875,10609748492321.72,0.7061214933518762
1.0,308.4646464646465,0.845,5385705591244.076,0.7226305190832522
1.0,313.5050505050505,0.833,8552270480892.801,0.721241315266029
1.0,318.54545454545456,0.79,5201936838688.62,0.7215344457684595
1.0,323.5858585858586,0.782,10360413644924.918,0.7312097320619791
1.0,328.62626262626264,0.782,7607644276699.69,0.7228541341772821
1.0,333.6666666666667,0.74,5068695348181.471,0.7300904287900567
1.0,338.7070707070707,0.726,6750864073336.98,0.7210191960848064
1.0,343.74747474747477,0.717,8265615336714.494,0.7355151207019945
1.0,348.7878787878788,0.713,591437842290819.2,0.7233040042531602
1.0,353.82828282828285,0.687,10822305139974.648,0.7208662233008598
1.0,358.8686868686869,0.65,4987464715704.748,0.7206525573377759
1.0,363.90909090909093,0.663,5079492538343.492,0.7254204937088634
1.0,368.949494949495,0.621,10886840737592.676,0.7027484782144037
1.0,373.989898989899,0.615,3972527204557.8423,0.7055202399861886
1.0,379.03030303030306,0.616,12433004920781.602,0.7333092298264452
1.0,384.0707070707071,0.598,4242763874352.0127,0.7113970711790059
1.0,389.11111111111114,0.603,7994008167762.439,0.7186012594248732
1.0,394.1515151515152,0.531,9303134178312.357,0.705021497752881
1.0,399.1919191919192,0.527,5904743799590.549,0.7037354722778425
1.0,404.23232323232327,0.484,4264922594851.532,0.7043793695059279
1.0,409.2727272727273,0.499,7316128489349.439,0.7159719840930111
1.0,414.31313131313135,0.497,12453167619098.338,0.6915533689761312
1.0,419.3535353535354,0.495,10110600370032.48,0.7010466483946792
1.0,424.39393939393943,0.464,9172292556395.754,0.7019408022372079
1.0,429.4343434343435,0.429,9636319263631.848,0.7089257438645159
1.0,434.4747474747475,0.434,8948830630529.426,0.6838643263309279
1.0,439.51515151515156,0.416,7186802270821.641,0.6846729791848264
1.0,444.5555555555556,0.379,7943270338821.147,0.6651295455150648
1.0,449.59595959595964,0.394,7181318971266.792,0.6971002557693804
1.0,454.6363636363637,0.394,9244219934695.748,0.6678722221404848
1.0,459.6767676767677,0.325,18711143394314.457,0.6752434516677926
